flight_id,algorithm,handover_count,total_latency_ms,avg_rssi,min_rssi,connection_drop_count
126,Proposed,179,1340.9994292091428,-62.2614286316132,-77.12195762912613,0
127,Baseline,61,3378.8830591777332,-63.11615811851077,-79.62504390956691,0
127,Proposed,3,27.273303524884078,-60.075345321647916,-78.01931608794916,0
128,Baseline,58,3088.738904067079,-62.74091916467347,-79.09407052630635,0
128,Proposed,291,2199.0306517749304,-63.4667308251022,-81.46664005254807,0
129,Baseline,137,7509.997416750608,-70.37348649110609,-83.78782174613224,0
129,Proposed,780,5852.127775556648,-70.74505037214826,-83.30407356360674,0
130,Baseline,101,5496.264626971571,-66.96246188377485,-81.56429189229317,0
130,Proposed,478,3597.6106692130293,-67.8090311226387,-82.05412493486753,0
131,Baseline,107,5840.363047992591,-60.55632133210737,-78.80494078725096,0
131,Proposed,171,1254.5774132288973,-63.02576953808593,-78.87789538283471,0
132,Baseline,127,6894.366523282994,-66.14733284281337,-76.56244164094375,0
132,Proposed,95,733.4927164725954,-65.56150874432817,-76.06462547468098,0
133,Baseline,11,624.3071662606598,-57.90007724101207,-74.58625431812555,0
133,Proposed,9,74.6550904746256,-58.72875852921794,-77.22582468576027,0
134,Baseline,92,5071.359208418864,-60.41841082800613,-75.96195733135913,0
134,Proposed,69,487.67396885480565,-61.51254686539898,-75.98775734265631,0
135,Baseline,54,2948.561112591888,-61.489456505921204,-77.55050019803402,0
135,Proposed,60,468.3092381579904,-60.50981485256172,-82.14712389007337,0
136,Baseline,109,6060.815159974217,-62.52676192769481,-77.24155535797208,0
136,Proposed,59,435.2396951880926,-63.5142729309895,-78.2167498878479,0
137,Baseline,23,1186.0917606778455,-60.84725694331131,-76.43743128002721,0
137,Proposed,23,176.70800471536475,-61.15257278732493,-75.13277959069814,0
138,Baseline,236,13116.149248963524,-71.68598804114649,-84.18669062635199,0
138,Proposed,807,6025.2078990207565,-70.88027810200663,-88.68128782000682,1
139,Baseline,155,8372.086369911454,-66.83323956180283,-78.8819059873974,0
139,Proposed,190,1438.6025772162682,-65.49485098417188,-83.31273822140386,0
140,Baseline,50,2797.0014223044604,-63.36741953987823,-74.16551173878122,0
140,Proposed,139,1052.6944600679076,-64.8831351793134,-80.62681566277325,0
141,Baseline,67,3741.69777412257,-63.293522614658926,-78.77950355353985,0
141,Proposed,93,689.2880225167801,-63.84474469425695,-81.21131212460618,0
142,Baseline,82,4693.757484328605,-63.32788028580611,-76.86426842036256,0
142,Proposed,143,1066.1731077583818,-63.50003720792446,-82.5752145589393,0
143,Baseline,133,7159.73033796928,-68.94109554359643,-80.00089185262995,0
143,Proposed,587,4427.4301753839345,-68.94466123941535,-85.3410717105139,1
144,Baseline,49,2656.6463261263148,-65.77131653171219,-77.03074468901056,0
144,Proposed,102,756.8565291120764,-65.90506184484376,-81.72653138911068,0
145,Baseline,138,7613.011928398902,-67.86848190174057,-82.38079455224678,0
145,Proposed,204,1562.6049084706158,-65.10099445072325,-82.26388489558676,0
146,Baseline,37,2078.335491377484,-59.81299258548408,-72.0859730012567,0
146,Proposed,1,9.0739362640296,-59.72918482473745,-74.16598041466489,0
147,Baseline,87,4757.988900859817,-68.00648116483757,-82.40454063625465,0
147,Proposed,627,4677.380458387161,-69.74257909844667,-88.34076882736336,3
148,Baseline,244,13567.262460076683,-70.28979022381722,-80.5829964707838,0
148,Proposed,590,4406.435434842539,-70.26516435025995,-84.9653268920992,0
149,Baseline,2,102.64665951333122,-59.247052181369625,-74.13889558196786,0
149,Proposed,8,55.978914507602994,-59.134325975071185,-76.79501978265374,0
